session_id,mechanism,D,R,driver_id,c_j,matched,tau_driver,pay_driver,match_id
4adbbea7,DA,20,40,19,6.660260551589055,1,0.0,16.0,2
adb270b1,DA,20,40,0,11.240853163238654,1,0.7000000000000001,15.16,1
adb270b1,DA,20,40,1,6.011873456736815,1,3.6,11.68,9
adb270b1,DA,20,40,2,7.971120543030704,1,4.1000000000000005,11.08,11
adb270b1,DA,20,40,3,5.777702975814673,1,2.9000000000000004,12.52,6
adb270b1,DA,20,40,4,6.002527360277336,1,1.9000000000000001,13.719999999999999,4
adb270b1,DA,20,40,5,10.89740666774595,1,3.8000000000000003,11.440000000000001,10
adb270b1,DA,20,40,6,7.4279284446404885,1,5.5,9.4,18
adb270b1,DA,20,40,7,6.9707722748243794,1,2.4000000000000004,13.12,5
adb270b1,DA,20,40,8,7.64288180339707,1,5.300000000000001,9.64,15
adb270b1,DA,20,40,9,4.553977497475277,1,3.5,11.8,8
adb270b1,DA,20,40,10,6.660231837245179,1,0.2,15.76,0
adb270b1,DA,20,40,11,6.474106792911011,1,3.2,12.16,7
adb270b1,DA,20,40,12,4.90806573719993,1,4.3,10.840000000000002,13
adb270b1,DA,20,40,13,8.814079382874832,1,0.7000000000000001,15.16,2
adb270b1,DA,20,40,14,8.581806428712575,1,5.300000000000001,9.64,16
adb270b1,DA,20,40,15,5.49178726621942,1,1.2000000000000002,14.56,3
adb270b1,DA,20,40,16,5.92974695002679,1,5.4,9.52,17
adb270b1,DA,20,40,17,5.406168768457294,1,4.2,10.96,12
adb270b1,DA,20,40,18,8.552297678168395,1,5.2,9.76,14
adb270b1,DA,20,40,19,5.480023448961682,1,5.5,9.4,19
95300833,DA,40,20,0,6.548089636753988,0,10.0,0.0,-1
95300833,DA,40,20,1,5.967796438134433,0,10.0,0.0,-1
95300833,DA,40,20,2,5.882789362231723,0,10.0,0.0,-1
95300833,DA,40,20,3,4.865994949901233,0,10.0,0.0,-1
95300833,DA,40,20,4,4.294929926854565,1,2.7,12.76,5
95300833,DA,40,20,5,8.545164464032627,1,0.0,16.0,0
95300833,DA,40,20,6,5.568706814910977,0,10.0,0.0,-1
95300833,DA,40,20,7,3.598014312513958,1,8.9,5.319999999999999,12
95300833,DA,40,20,8,9.044558248775623,0,10.0,0.0,-1
95300833,DA,40,20,9,2.930892441524042,1,9.200000000000001,4.96,13
95300833,DA,40,20,10,13.969151323163759,0,10.0,0.0,-1
95300833,DA,40,20,11,9.271620113035963,1,0.0,16.0,1
95300833,DA,40,20,12,6.734422438113524,0,10.0,0.0,-1
95300833,DA,40,20,13,5.630080509121114,1,2.8000000000000003,12.64,6
95300833,DA,40,20,14,4.773683063977057,1,3.1,12.280000000000001,7
95300833,DA,40,20,15,3.681604061093566,1,9.4,4.719999999999999,14
95300833,DA,40,20,16,7.588372227778915,0,10.0,0.0,-1
95300833,DA,40,20,17,2.5870847593047026,1,9.600000000000001,4.479999999999999,15
95300833,DA,40,20,18,8.039796137779756,0,10.0,0.0,-1
95300833,DA,40,20,19,8.8070715952156,0,10.0,0.0,-1
95300833,DA,40,20,20,6.572466255665627,0,10.0,0.0,-1
95300833,DA,40,20,21,2.674634036580688,1,0.7000000000000001,15.16,3
95300833,DA,40,20,22,7.461847769308372,0,10.0,0.0,-1
95300833,DA,40,20,23,4.215120267812568,1,7.4,7.119999999999999,11
95300833,DA,40,20,24,7.816650782137932,0,10.0,0.0,-1
95300833,DA,40,20,25,9.152266362869081,0,10.0,0.0,-1
95300833,DA,40,20,26,4.416824935728503,1,0.9,14.92,4
95300833,DA,40,20,27,13.481654912063068,0,10.0,0.0,-1
95300833,DA,40,20,28,5.716831675243144,0,10.0,0.0,-1
95300833,DA,40,20,29,8.46280244001627,1,0.1,15.880000000000003,2
95300833,DA,40,20,30,7.431353066576124,0,10.0,0.0,-1
95300833,DA,40,20,31,6.688505544236822,0,10.0,0.0,-1
95300833,DA,40,20,32,4.763254592640324,0,10.0,0.0,-1
95300833,DA,40,20,33,6.689111552012461,0,10.0,0.0,-1
95300833,DA,40,20,34,8.318333360488687,1,4.5,10.600000000000001,8
95300833,DA,40,20,35,5.8584300450435585,0,10.0,0.0,-1
95300833,DA,40,20,36,6.815597873901025,1,6.800000000000001,7.84,10
95300833,DA,40,20,37,4.927164483449693,0,10.0,0.0,-1
95300833,DA,40,20,38,6.508928252306599,1,6.800000000000001,7.84,9
95300833,DA,40,20,39,6.5740298953582945,0,10.0,0.0,-1
39cbf0e8,DA,40,20,0,9.584563636041175,0,10.0,0.0,-1
39cbf0e8,DA,40,20,1,5.120377279684426,0,10.0,0.0,-1
39cbf0e8,DA,40,20,2,2.9961634276676548,1,3.4000000000000004,11.92,6
39cbf0e8,DA,40,20,3,6.76157763185624,0,10.0,0.0,-1
39cbf0e8,DA,40,20,4,3.3680411696907817,1,3.5,11.8,7
39cbf0e8,DA,40,20,5,7.043430892984917,0,10.0,0.0,-1
39cbf0e8,DA,40,20,6,4.66220392417973,0,10.0,0.0,-1
39cbf0e8,DA,40,20,7,5.1397655465465535,0,10.0,0.0,-1
39cbf0e8,DA,40,20,8,8.724765519605226,0,10.0,0.0,-1
39cbf0e8,DA,40,20,9,5.870681459338053,1,4.7,10.36,9
39cbf0e8,DA,40,20,10,10.934933559054564,1,3.5,11.8,8
39cbf0e8,DA,40,20,11,7.392504008116733,1,0.2,15.76,1
39cbf0e8,DA,40,20,12,8.959715785473575,0,10.0,0.0,-1
39cbf0e8,DA,40,20,13,10.671627176300008,0,10.0,0.0,-1
39cbf0e8,DA,40,20,14,10.180246410340109,0,10.0,0.0,-1
39cbf0e8,DA,40,20,15,4.570426753586119,1,6.0,8.8,11
39cbf0e8,DA,40,20,16,7.004658126225185,1,6.5,8.200000000000001,14
39cbf0e8,DA,40,20,17,2.496612793013101,1,8.8,5.4399999999999995,17
39cbf0e8,DA,40,20,18,9.858701418761424,0,10.0,0.0,-1
39cbf0e8,DA,40,20,19,9.115452322212995,0,10.0,0.0,-1
39cbf0e8,DA,40,20,20,8.285925166252786,0,10.0,0.0,-1
39cbf0e8,DA,40,20,21,4.743810224893407,0,10.0,0.0,-1
39cbf0e8,DA,40,20,22,11.226115294618426,0,10.0,0.0,-1
39cbf0e8,DA,40,20,23,6.77073922982014,1,2.7,12.76,5
39cbf0e8,DA,40,20,24,4.371910046512234,1,8.8,5.4399999999999995,18
39cbf0e8,DA,40,20,25,6.061933031215748,0,10.0,0.0,-1
39cbf0e8,DA,40,20,26,7.312774724581643,0,10.0,0.0,-1
39cbf0e8,DA,40,20,27,5.562918705575856,0,10.0,0.0,-1
39cbf0e8,DA,40,20,28,2.2289934157121394,1,7.2,7.359999999999999,15
39cbf0e8,DA,40,20,29,11.25357248266764,1,2.3000000000000003,13.240000000000002,4
39cbf0e8,DA,40,20,30,5.7746955701967035,1,1.8,13.840000000000002,3
39cbf0e8,DA,40,20,31,8.317844469852496,0,10.0,0.0,-1
39cbf0e8,DA,40,20,32,4.89085616587248,0,10.0,0.0,-1
39cbf0e8,DA,40,20,33,2.804120790892846,1,0.1,15.880000000000003,0
39cbf0e8,DA,40,20,34,3.6320869691316013,1,6.2,8.56,13
39cbf0e8,DA,40,20,35,5.648166287335485,1,0.5,15.4,2
39cbf0e8,DA,40,20,36,4.483621783061708,1,8.200000000000001,6.16,16
39cbf0e8,DA,40,20,37,3.803970009863327,1,5.5,9.4,10
39cbf0e8,DA,40,20,38,3.0297152323221437,1,9.1,5.080000000000002,19
39cbf0e8,DA,40,20,39,5.988760076898004,1,6.1000000000000005,8.68,12
0f9cac4f,DA,40,20,0,7.447339906256744,0,10.0,0.0,-1
0f9cac4f,DA,40,20,1,2.016749482181288,1,5.7,9.16,6
0f9cac4f,DA,40,20,2,14.525657560531215,0,10.0,0.0,-1
0f9cac4f,DA,40,20,3,10.675755495944049,0,10.0,0.0,-1
0f9cac4f,DA,40,20,4,4.828146698246558,0,10.0,0.0,-1
0f9cac4f,DA,40,20,5,5.828389540184024,1,7.800000000000001,6.64,15
0f9cac4f,DA,40,20,6,5.393776520143978,1,6.6000000000000005,8.08,9
0f9cac4f,DA,40,20,7,7.492851095163788,0,10.0,0.0,-1
0f9cac4f,DA,40,20,8,11.13434571795872,0,10.0,0.0,-1
0f9cac4f,DA,40,20,9,7.4883377071235335,0,10.0,0.0,-1
0f9cac4f,DA,40,20,10,3.2840742041526196,1,9.4,4.719999999999999,18
0f9cac4f,DA,40,20,11,12.437559122391496,0,10.0,0.0,-1
0f9cac4f,DA,40,20,12,3.715564566862963,0,10.0,0.0,-1
0f9cac4f,DA,40,20,13,11.287850218198505,0,10.0,0.0,-1
0f9cac4f,DA,40,20,14,7.594604217373265,0,10.0,0.0,-1
0f9cac4f,DA,40,20,15,2.8250464028600333,1,6.7,7.96,11
0f9cac4f,DA,40,20,16,2.736814153354635,1,6.300000000000001,8.44,7
0f9cac4f,DA,40,20,17,6.794708372717697,1,6.4,8.319999999999999,8
0f9cac4f,DA,40,20,18,5.10525746853623,1,7.800000000000001,6.64,16
0f9cac4f,DA,40,20,19,5.921447222648048,0,10.0,0.0,-1
0f9cac4f,DA,40,20,20,4.503314498582157,0,10.0,0.0,-1
0f9cac4f,DA,40,20,21,9.299637933821666,0,10.0,0.0,-1
0f9cac4f,DA,40,20,22,5.834709847355444,1,7.5,7.0,14
0f9cac4f,DA,40,20,23,6.011448675717514,1,7.2,7.359999999999999,12
0f9cac4f,DA,40,20,24,6.123850514053955,0,10.0,0.0,-1
0f9cac4f,DA,40,20,25,6.3151605297052065,0,10.0,0.0,-1
0f9cac4f,DA,40,20,26,4.214040212449129,1,8.9,5.319999999999999,17
0f9cac4f,DA,40,20,27,4.856575045161273,1,0.30000000000000004,15.64,0
0f9cac4f,DA,40,20,28,3.560945139971892,0,10.0,0.0,-1
0f9cac4f,DA,40,20,29,6.300593499333912,1,7.300000000000001,7.239999999999999,13
0f9cac4f,DA,40,20,30,6.514731408146162,1,6.6000000000000005,8.08,10
0f9cac4f,DA,40,20,31,4.770356437947413,0,10.0,0.0,-1
0f9cac4f,DA,40,20,32,5.467117660496981,0,10.0,0.0,-1
0f9cac4f,DA,40,20,33,4.069312941151118,1,3.5,11.8,3
0f9cac4f,DA,40,20,34,5.48537930482498,1,2.7,12.76,1
0f9cac4f,DA,40,20,35,2.881006254166997,1,3.5,11.8,2
0f9cac4f,DA,40,20,36,8.090879218095257,1,5.2,9.76,4
0f9cac4f,DA,40,20,37,4.427198590705671,0,10.0,0.0,-1
0f9cac4f,DA,40,20,38,6.489010399648559,1,5.6000000000000005,9.28,5
0f9cac4f,DA,40,20,39,10.05725813772974,0,10.0,0.0,-1
9b41956d,DA,40,20,0,6.933949573367324,1,4.4,10.719999999999999,4
9b41956d,DA,40,20,1,5.139642615813701,1,5.1000000000000005,9.88,7
9b41956d,DA,40,20,2,5.917582870609781,0,10.0,0.0,-1
9b41956d,DA,40,20,3,4.396912053569127,1,7.6000000000000005,6.88,12
9b41956d,DA,40,20,4,5.202925058858879,0,10.0,0.0,-1
9b41956d,DA,40,20,5,6.855799376752469,0,10.0,0.0,-1
9b41956d,DA,40,20,6,5.0117615622243505,0,10.0,0.0,-1
9b41956d,DA,40,20,7,7.685653416564396,1,5.0,10.0,5
9b41956d,DA,40,20,8,5.012668073657836,1,0.30000000000000004,15.64,0
9b41956d,DA,40,20,9,4.843022397066417,0,10.0,0.0,-1
9b41956d,DA,40,20,10,12.561196161779653,0,10.0,0.0,-1
9b41956d,DA,40,20,11,7.381490686291402,1,4.0,11.200000000000001,3
9b41956d,DA,40,20,12,3.9013545346304426,1,8.6,5.6800000000000015,15
9b41956d,DA,40,20,13,4.085660537200749,1,1.3,14.440000000000001,1
9b41956d,DA,40,20,14,6.3671762273186845,0,10.0,0.0,-1
9b41956d,DA,40,20,15,7.761611977679818,0,10.0,0.0,-1
9b41956d,DA,40,20,16,4.570561656740018,1,8.4,5.919999999999999,14
9b41956d,DA,40,20,17,5.409818125672719,1,5.5,9.4,8
9b41956d,DA,40,20,18,5.202757867105747,0,10.0,0.0,-1
9b41956d,DA,40,20,19,8.480999624160539,0,10.0,0.0,-1
9b41956d,DA,40,20,20,3.2486778692531275,1,8.8,5.4399999999999995,16
9b41956d,DA,40,20,21,4.934556309771144,1,7.2,7.359999999999999,10
9b41956d,DA,40,20,22,4.716741028936734,1,7.2,7.359999999999999,11
9b41956d,DA,40,20,23,7.0234585611170255,0,10.0,0.0,-1
9b41956d,DA,40,20,24,6.179384033919711,0,10.0,0.0,-1
9b41956d,DA,40,20,25,7.7026357925932745,1,5.0,10.0,6
9b41956d,DA,40,20,26,9.39969617194162,1,3.5,11.8,2
9b41956d,DA,40,20,27,11.407805171969517,0,10.0,0.0,-1
9b41956d,DA,40,20,28,8.51042795986845,0,10.0,0.0,-1
9b41956d,DA,40,20,29,5.3735151427149574,0,10.0,0.0,-1
9b41956d,DA,40,20,30,6.204484663372129,0,10.0,0.0,-1
9b41956d,DA,40,20,31,13.639440115987336,0,10.0,0.0,-1
9b41956d,DA,40,20,32,10.67576251531275,0,10.0,0.0,-1
9b41956d,DA,40,20,33,5.488584693663997,0,10.0,0.0,-1
9b41956d,DA,40,20,34,5.065548427933591,0,10.0,0.0,-1
9b41956d,DA,40,20,35,11.260473344345888,0,10.0,0.0,-1
9b41956d,DA,40,20,36,2.6266342573523804,1,7.7,6.76,13
9b41956d,DA,40,20,37,4.40112821364477,1,6.0,8.8,9
9b41956d,DA,40,20,38,7.537312714161588,0,10.0,0.0,-1
9b41956d,DA,40,20,39,11.326090781603071,0,10.0,0.0,-1
e0824fcf,DA,40,20,0,6.726998167992635,0,10.0,0.0,-1
e0824fcf,DA,40,20,1,7.1343369547489734,1,4.1000000000000005,11.08,4
e0824fcf,DA,40,20,2,5.520261327687782,0,10.0,0.0,-1
e0824fcf,DA,40,20,3,6.33568210148355,0,10.0,0.0,-1
